"chr","cm.pos","mb.pos"
"6:128250","6",0,0.12825
"6:128271","6",1e-07,0.128271
"6:128302","6",2e-07,0.128302
"6:142511","6",1.99116968513343,0.142511
"6:157842","6",1.99116978513343,0.157842
"6:162944","6",1.99116988513343,0.162944
"6:179694","6",1.99116998513343,0.179694
"6:179780","6",1.99117008513343,0.17978
"6:472570","6",2.56667569582932,0.47257
"6:472739","6",2.56667579582932,0.472739
"6:855371","6",2.56667589582932,0.855371
"6:1425245","6",2.56667599582932,1.425245
"6:2170581","6",2.56667609582932,2.170581
"6:2668841","6",3.52753558156117,2.668841
"6:3212486","6",5.47213816479079,3.212486
"6:3587943","6",5.47213826479079,3.587943
"6:3621076","6",5.47213836479079,3.621076
"6:4401434","6",16.2421597534919,4.401434
"6:4438576","6",16.2421598534919,4.438576
"6:5360452","6",16.2421599534919,5.360452
"6:6598347","6",19.5262509270785,6.598347
"6:7161181","6",19.5262510852751,7.161181
"6:8986577","6",35.9980118118582,8.986577
"6:9078460","6",35.9980119118582,9.07846
"6:9152468","6",35.9980120118582,9.152468
"6:9152507","6",35.9980121118582,9.152507
"6:9201070","6",35.9980122118582,9.20107
"6:10188043","6",35.9980123118582,10.188043
"6:11551054","6",37.1557807919135,11.551054
"6:11556141","6",37.1557808919135,11.556141
"6:12386964","6",38.8940197248187,12.386964
"6:13120965","6",42.4289842641138,13.120965
"6:14286887","6",46.6163442604862,14.286887
"6:14312024","6",46.6163443604862,14.312024
"6:14847268","6",47.19340916394,14.847268
"6:14847299","6",47.19340926394,14.847299
"6:15097967","6",47.19340936394,15.097967
"6:15130116","6",47.19340946394,15.130116
"6:15130218","6",47.19340956394,15.130218
"6:15136099","6",47.19340966394,15.136099
"6:15155365","6",47.19340976394,15.155365
"6:15174989","6",47.19340986394,15.174989
"6:15175133","6",47.19340996394,15.175133
"6:16158273","6",48.9310299274459,16.158273
"6:16158367","6",48.9310300274459,16.158367
"6:17341221","6",51.8513519326479,17.341221
"6:17345726","6",51.8513520326479,17.345726
"6:17432612","6",51.8513521326479,17.432612
"6:17432730","6",51.8513522326479,17.43273
"6:17442646","6",51.8513523326479,17.442646
"6:17619037","6",51.8513524326479,17.619037
"6:18317587","6",51.8513525326479,18.317587
"6:18317682","6",51.8513526326479,18.317682
"6:18317752","6",51.8513527326479,18.317752
"6:18327510","6",51.8513528326479,18.32751
"6:18327609","6",51.8513529326479,18.327609
"6:19023122","6",51.8513530326479,19.023122
"6:19105669","6",52.4273281302346,19.105669
"6:19617060","6",52.4273282302346,19.61706
"6:20038175","6",53.5886953898939,20.038175
"6:20874404","6",54.7468459960562,20.874404
"6:20962717","6",54.7468460960562,20.962717
"6:20970689","6",54.7468461960562,20.970689
"6:21198463","6",54.7468462960562,21.198463
"6:21269875","6",54.7468463960562,21.269875
"6:21421784","6",55.3233621694652,21.421784
"6:21465885","6",55.3233622694652,21.465885
"6:21483167","6",55.3233623694652,21.483167
"6:21847508","6",55.3233624694652,21.847508
"6:22012931","6",55.3233625694652,22.012931
"6:22457585","6",55.3233626694652,22.457585
"6:22470614","6",55.3233627694652,22.470614
"6:22644556","6",55.3233628694652,22.644556
"6:22798788","6",55.3233629694652,22.798788
"6:24218319","6",57.6526009134784,24.218319
"6:24414028","6",57.6526010134784,24.414028
"6:24470915","6",57.6526011134784,24.470915
"6:24512627","6",57.6526012134784,24.512627
"6:24512693","6",57.6526013134784,24.512693
"6:24529343","6",57.6526014134784,24.529343
"6:24705973","6",57.6526015134784,24.705973
"6:24814231","6",57.6526016134784,24.814231
"6:25553046","6",59.3929290121192,25.553046
"6:25553084","6",59.3929291121192,25.553084
"6:25553151","6",59.3929292121192,25.553151
"6:25553175","6",59.3929293121192,25.553175
"6:25562742","6",59.3929294121192,25.562742
"6:25562843","6",59.3929295121192,25.562843
"6:25585072","6",59.3929296121192,25.585072
"6:25585229","6",59.3929297121192,25.585229
"6:25608761","6",59.3929298121192,25.608761
"6:25626673","6",59.3929299121192,25.626673
"6:26598440","6",62.2730748974298,26.59844
"6:26610717","6",63.0038909187341,26.610717
"6:27050738","6",63.6472627917479,27.050738
"6:27050849","6",63.6472628917479,27.050849
"6:27633785","6",63.6472629917479,27.633785
"6:27725209","6",63.6472630917479,27.725209
"6:28390351","6",63.6472631917479,28.390351
"6:28453915","6",63.6472632917479,28.453915
"6:28454090","6",63.6472633917479,28.45409
"6:28454127","6",63.6472634917479,28.454127
"6:28687188","6",63.6472635917479,28.687188
"6:28864561","6",64.2237794178874,28.864561
"6:28864651","6",64.2237795178874,28.864651
"6:28864673","6",64.2237796178874,28.864673
"6:28979353","6",64.2237797178874,28.979353
"6:29268589","6",64.7960226649048,29.268589
"6:29293380","6",64.7960227649047,29.29338
"6:29638805","6",69.5286254547628,29.638805
"6:30542549","6",69.5286255547628,30.542549
"6:30679206","6",69.5286256547628,30.679206
"6:30698118","6",69.5286257547628,30.698118
"6:30954061","6",69.5286258547628,30.954061
"6:30954204","6",69.5286259547628,30.954204
"6:31550949","6",69.5286260547628,31.550949
"6:31917494","6",69.5286261547628,31.917494
"6:31974290","6",69.5286262547628,31.97429
"6:32104461","6",70.104986455207,32.104461
"6:32734345","6",70.104986555207,32.734345
"6:32759618","6",70.104986655207,32.759618
"6:32787482","6",70.104986755207,32.787482
"6:32787542","6",70.104986855207,32.787542
"6:32813998","6",70.104986955207,32.813998
"6:32818315","6",70.104987055207,32.818315
"6:32818415","6",70.104987155207,32.818415
"6:33090947","6",70.104987255207,33.090947
"6:33090985","6",70.104987355207,33.090985
"6:33359482","6",70.104987455207,33.359482
"6:33523272","6",70.104987555207,33.523272
"6:34320828","6",70.104987655207,34.320828
"6:34351946","6",70.104987755207,34.351946
"6:34368950","6",70.6987168178481,34.36895
