"chr","cm.pos","mb.pos"
"10:1009946","10",0,1.009946
"10:1227349","10",1e-07,1.227349
"10:1859841","10",2.47443207223425,1.859841
"10:1859964","10",2.47443217223425,1.859964
"10:1879920","10",2.47443227223425,1.87992
"10:2042628","10",2.47443237223425,2.042628
"10:2899640","10",3.43416012496517,2.89964
"10:2899645","10",4.39388569795365,2.899645
"10:3047901","10",4.39388579795365,3.047901
"10:3078795","10",4.39388589795365,3.078795
"10:3126711","10",4.39388599795365,3.126711
"10:3152485","10",4.39388609795365,3.152485
"10:4870806","10",6.13584013805789,4.870806
"10:4882921","10",6.13584023805789,4.882921
"10:5043959","10",6.13584033805789,5.043959
"10:5787591","10",7.29350709785219,5.787591
"10:5818381","10",7.29350719785219,5.818381
"10:6455268","10",7.29350729785219,6.455268
"10:6455409","10",7.29350739785219,6.455409
"10:6773374","10",7.87033174675839,6.773374
"10:6799674","10",7.87033325323995,6.799674
"10:6799822","10",7.87033335323995,6.799822
"10:6902528","10",7.87033345323995,6.902528
"10:6902629","10",7.87033355323995,6.902629
"10:7070532","10",7.87033365323995,7.070532
"10:7892876","10",7.87033375323995,7.892876
"10:8931256","10",9.16867843435406,8.931256
"10:9896728","10",9.16867853435406,9.896728
"10:11961034","10",13.1738603994489,11.961034
"10:12384710","10",13.1738604994489,12.38471
"10:12486384","10",13.1738605994489,12.486384
"10:13191732","10",14.9167820394813,13.191732
"10:13202711","10",14.9167821394813,13.202711
"10:13202833","10",14.9167822394813,13.202833
"10:14106759","10",14.9167823394813,14.106759
"10:14110091","10",14.9167824394813,14.110091
"10:14696503","10",16.0727892619439,14.696503
"10:14752709","10",16.0727893619439,14.752709
"10:15290390","10",16.8877670223593,15.29039
"10:15532321","10",18.0619614051994,15.532321
"10:16008852","10",18.0619615051994,16.008852
"10:16586672","10",21.2456390192169,16.586672
"10:17058420","10",21.2456391192169,17.05842
"10:17284401","10",21.2456392192169,17.284401
"10:17415243","10",21.2456393192169,17.415243
"10:17927057","10",21.2456394192169,17.927057
"10:19379755","10",21.2456395192169,19.379755
"10:19467782","10",21.8179395303822,19.467782
"10:19485312","10",21.8179396303822,19.485312
"10:19485360","10",21.8179397303822,19.48536
"10:20512788","10",22.9703272108836,20.512788
"10:20562521","10",22.9703273108836,20.562521
"10:20602031","10",22.9703274108836,20.602031
"10:21109902","10",22.9703275108836,21.109902
"10:22562395","10",23.546843324181,22.562395
"10:22857688","10",23.546843424181,22.857688
"10:23032186","10",23.546843524181,23.032186
"10:23622774","10",24.1234011297485,23.622774
"10:23622912","10",24.1234012297485,23.622912
"10:23887535","10",25.2794306431354,23.887535
"10:23918248","10",25.2794307431354,23.918248
"10:24542537","10",26.4377920948274,24.542537
"10:24605372","10",26.4377921948274,24.605372
"10:24605481","10",26.4377922948274,24.605481
"10:24991875","10",27.014347579284,24.991875
"10:25174751","10",27.014347679284,25.174751
"10:25192329","10",27.014347779284,25.192329
"10:26715484","10",27.014347879284,26.715484
"10:26715499","10",27.014347979284,26.715499
"10:26715630","10",27.014348079284,26.71563
"10:26733379","10",27.014348179284,26.733379
"10:26794601","10",27.014348279284,26.794601
"10:26823179","10",27.014348379284,26.823179
"10:26823262","10",27.014348479284,26.823262
"10:26839718","10",27.014348579284,26.839718
"10:26884811","10",27.014348679284,26.884811
"10:27795374","10",27.014348779284,27.795374
"10:28617711","10",28.1710607777402,28.617711
"10:28675404","10",28.1710608777402,28.675404
"10:28885002","10",28.1710609777402,28.885002
"10:28885072","10",28.1710610777402,28.885072
"10:29427352","10",28.1710611777402,29.427352
"10:29435249","10",28.1710612777402,29.435249
"10:29459104","10",29.8270447941205,29.459104
"10:29611844","10",29.8270448941205,29.611844
"10:30134102","10",47.2539963571087,30.134102
"10:30134188","10",47.2539964571087,30.134188
"10:30134218","10",47.2539965571087,30.134218
"10:30145069","10",47.8321651936477,30.145069
"10:32387839","10",53.7789686284081,32.387839
"10:32408084","10",53.7789687284081,32.408084
"10:32408113","10",53.7789688284081,32.408113
"10:33143987","10",55.4899997238221,33.143987
"10:33291882","10",55.4899998238221,33.291882
"10:33641889","10",55.4899999238221,33.641889
"10:34335301","10",55.4900000238221,34.335301
