"chr","cm.pos","mb.pos"
"15:11360","15",0,0.01136
"15:29726","15",1e-07,0.029726
"15:135241","15",2e-07,0.135241
"15:172081","15",3e-07,0.172081
"15:295987","15",4e-07,0.295987
"15:476646","15",5e-07,0.476646
"15:575170","15",6e-07,0.57517
"15:601337","15",1.1532881034407,0.601337
"15:607204","15",1.1532882034407,0.607204
"15:607249","15",1.1532883034407,0.607249
"15:649442","15",1.1532884034407,0.649442
"15:693297","15",1.1532885034407,0.693297
"15:723116","15",1.1532886034407,0.723116
"15:840080","15",1.1532887034407,0.84008
"15:869830","15",1.1532888034407,0.86983
"15:915365","15",1.1532889034407,0.915365
"15:1105675","15",1.1532890034407,1.105675
"15:1565885","15",1.1532891034407,1.565885
"15:1718706","15",2.31237392616287,1.718706
"15:1808316","15",2.37087810527228,1.808316
"15:1856859","15",2.37087820527228,1.856859
"15:1947754","15",2.37087830527228,1.947754
"15:2099101","15",2.37087840527228,2.099101
"15:2781301","15",7.05537723909218,2.781301
"15:2831413","15",7.05537733909218,2.831413
"15:2850759","15",7.05537743909218,2.850759
"15:2850917","15",7.05537753909218,2.850917
"15:2992293","15",7.05537763909218,2.992293
"15:3350620","15",8.20775567572707,3.35062
"15:3390461","15",8.20775577572707,3.390461
"15:3716309","15",8.20775587572707,3.716309
"15:4060116","15",9.94583213019427,4.060116
"15:4060272","15",9.94583223019427,4.060272
"15:4202237","15",9.94583233019427,4.202237
"15:4202333","15",9.94583243019427,4.202333
"15:4314115","15",9.94583253019427,4.314115
"15:4314133","15",9.94583263019427,4.314133
"15:5076314","15",9.94583273019427,5.076314
"15:5212725","15",12.9231055265176,5.212725
"15:5257782","15",12.9231056265176,5.257782
"15:7071182","15",20.8350943901945,7.071182
"15:7085637","15",20.8350944901945,7.085637
"15:7217731","15",22.7971913854099,7.217731
"15:7217809","15",22.7971914854099,7.217809
"15:7223402","15",22.7971915854099,7.223402
"15:7223451","15",22.7971916854099,7.223451
"15:8091878","15",22.7971917854099,8.091878
"15:8092089","15",22.7971918854099,8.092089
"15:8352492","15",22.7971919854099,8.352492
"15:8564892","15",22.7971920854099,8.564892
"15:8646486","15",22.7971921854099,8.646486
"15:9346304","15",22.7971922854099,9.346304
"15:9697926","15",25.7106002821417,9.697926
"15:9724253","15",25.7106003821417,9.724253
"15:10136259","15",25.7106004821417,10.136259
"15:10267623","15",25.7106005821417,10.267623
"15:11012029","15",30.4229059295012,11.012029
"15:11202278","15",30.4229060295012,11.202278
"15:11377508","15",30.4229061295012,11.377508
"15:11377580","15",30.4229062295012,11.37758
"15:11724162","15",31.2204934564633,11.724162
"15:11724247","15",31.2204935564633,11.724247
"15:11754006","15",31.2204936564633,11.754006
"15:12133770","15",34.1334861279148,12.13377
"15:12133924","15",34.1334862279148,12.133924
"15:12421857","15",39.5342924973678,12.421857
"15:13040493","15",39.5342925973678,13.040493
"15:13063496","15",40.3893349540825,13.063496
"15:13063540","15",40.3893350540826,13.06354
"15:13074516","15",40.9653938549658,13.074516
"15:13125718","15",40.9653939549658,13.125718
"15:13290190","15",40.9653940549658,13.29019
"15:13292105","15",40.9653941549658,13.292105
"15:13553971","15",42.7024055395243,13.553971
"15:14194131","15",42.7024056395243,14.194131
"15:14194214","15",42.7024057395243,14.194214
"15:14194254","15",42.7024058395243,14.194254
"15:14753712","15",43.8588843007854,14.753712
"15:15336341","15",43.8588844007854,15.336341
"15:15452622","15",43.8588845007854,15.452622
"15:15452704","15",43.8588846007854,15.452704
"15:15595867","15",43.8588847007854,15.595867
"15:16016194","15",46.7736928524417,16.016194
"15:16029652","15",46.7736929524417,16.029652
