"chr","cm.pos","mb.pos"
"19:318146","19",0,0.318146
"19:2232573","19",1.15943854519315,2.232573
"19:2785609","19",1.15943864519315,2.785609
"19:2802126","19",1.15943874519315,2.802126
"19:3252850","19",1.15943884519315,3.25285
"19:3538467","19",1.15943894519315,3.538467
"19:3897478","19",1.15943904519315,3.897478
"19:4442876","19",1.15943914519315,4.442876
"19:7642434","19",20.178420858604,7.642434
"19:8355584","19",21.7288251947482,8.355584
"19:8362035","19",21.7288252947482,8.362035
"19:8438897","19",21.7288253947482,8.438897
"19:8478618","19",22.30600883257,8.478618
"19:8803878","19",22.8832305272284,8.803878
"19:8980070","19",22.8832315439751,8.98007
"19:9083168","19",22.8832316439751,9.083168
"19:9190467","19",22.8832317439751,9.190467
"19:10247424","19",28.8614881018534,10.247424
"19:10247434","19",28.8614882018534,10.247434
"19:10247589","19",28.8614883018534,10.247589
"19:10302838","19",28.8614884018534,10.302838
"19:10302855","19",28.8614885018534,10.302855
"19:10302929","19",28.8614886018534,10.302929
"19:10329680","19",30.4973288377939,10.32968
"19:10329685","19",30.4973289377939,10.329685
"19:11019646","19",35.4363501054849,11.019646
"19:11044125","19",35.4363502054849,11.044125
"19:11187434","19",36.0134475087067,11.187434
"19:11187523","19",36.0134476087067,11.187523
"19:11345835","19",36.0134477087067,11.345835
"19:11412092","19",36.7858989922755,11.412092
"19:11412109","19",36.7858990922755,11.412109
"19:11625565","19",39.9148718477404,11.625565
"19:11885802","19",39.9148719477404,11.885802
"19:12266449","19",39.9148720477404,12.266449
"19:12779795","19",39.9148721477404,12.779795
"19:13224122","19",41.8604283377858,13.224122
"19:13224144","19",41.8604284377858,13.224144
"19:13963894","19",42.8229341056645,13.963894
"19:14069953","19",42.8229342056645,14.069953
"19:14117743","19",42.8229343056645,14.117743
"19:14370175","19",42.8229344056645,14.370175
"19:14429444","19",42.8229345056645,14.429444
"19:14473462","19",42.8229346056645,14.473462
"19:15193499","19",45.1971146197605,15.193499
"19:15289240","19",46.7241844276017,15.28924
"19:15785895","19",47.4941495967272,15.785895
"19:15811825","19",47.4941496967272,15.811825
"19:16314853","19",47.4941497967272,16.314853
"19:16474540","19",47.4941498967272,16.47454
"19:17129514","19",47.4941499967272,17.129514
"19:18097341","19",47.4941500967272,18.097341
"19:18192824","19",47.4941501967272,18.192824
"19:19111660","19",48.1529169430247,19.11166
"19:19165430","19",48.1529170430247,19.16543
"19:19460388","19",49.3950918518453,19.460388
"19:19730084","19",49.3950919518453,19.730084
"19:20701506","19",49.3950920518453,20.701506
"19:20867948","19",50.5523656830812,20.867948
"19:20867996","19",50.5523657830812,20.867996
"19:21135995","19",50.5523658830812,21.135995
"19:21164967","19",50.5523659830812,21.164967
"19:21797196","19",52.2940400047953,21.797196
"19:21797209","19",52.2940401047953,21.797209
"19:21842616","19",52.2940402047953,21.842616
"19:22118097","19",52.2940403047953,22.118097
"19:22279127","19",52.2940404047953,22.279127
"19:22417375","19",52.2940405047953,22.417375
"19:23726624","19",55.8151739964278,23.726624
"19:23726798","19",55.8151740964278,23.726798
"19:23737006","19",55.8151741964278,23.737006
"19:24937256","19",55.8151742964278,24.937256
"19:25425510","19",58.1437454545597,25.42551
"19:25530750","19",58.1437455545597,25.53075
"19:25530784","19",58.1437456545597,25.530784
"19:25550110","19",58.1437457545597,25.55011
"19:25636764","19",58.1437458545597,25.636764
"19:26165167","19",58.1437459545597,26.165167
"19:26165303","19",58.1437460545597,26.165303
"19:26176934","19",58.1437461545597,26.176934
"19:26508213","19",58.1437462545597,26.508213
"19:27622455","19",62.8687795764719,27.622455
"19:28130062","19",62.8687796764719,28.130062
"19:29525909","19",64.6080630342007,29.525909
"19:29794065","19",64.6080631342007,29.794065
"19:31592962","19",66.9374951318139,31.592962
"19:31665022","19",66.9374952318139,31.665022
"19:31731253","19",66.9374953318139,31.731253
"19:32293984","19",68.3423130241135,32.293984
"19:33904418","19",70.269453591174,33.904418
"19:34547941","19",71.0094307674085,34.547941
"19:34626338","19",71.5872370935385,34.626338
"19:34832890","19",72.16536626824,34.83289
"19:35151635","19",72.7431010273708,35.151635
"19:35192264","19",72.7431011273708,35.192264
"19:35582899","19",75.6293146203393,35.582899
"19:36725028","19",76.5666413627592,36.725028
"19:37134785","19",78.041545722836,37.134785
"19:37792756","19",78.041545822836,37.792756
"19:37792828","19",78.041545922836,37.792828
"19:39231463","19",78.041546022836,39.231463
"19:39381103","19",81.6618422470134,39.381103
