"chr","cm.pos","mb.pos"
"8:1413263","8",0,1.413263
"8:5506907","8",4.55533073875931,5.506907
"8:5561136","8",4.55533083875931,5.561136
"8:5888675","8",17.4465592610681,5.888675
"8:6069645","8",17.4465593610681,6.069645
"8:6069650","8",17.4465594610681,6.06965
"8:6069670","8",17.4465595610681,6.06967
"8:7598274","8",25.9802273076401,7.598274
"8:7598479","8",25.9802274076401,7.598479
"8:8027976","8",25.9802275076401,8.027976
"8:8028077","8",25.9802276076401,8.028077
"8:8116622","8",25.9802277076401,8.116622
"8:8116721","8",27.165806414337,8.116721
"8:8804713","8",32.0439453302038,8.804713
"8:8804728","8",32.0439454302038,8.804728
"8:8941466","8",32.0439455302038,8.941466
"8:8941638","8",32.0439456302038,8.941638
"8:8941658","8",32.0439457302038,8.941658
"8:9073560","8",32.0439458302038,9.07356
"8:9109249","8",32.0439459302038,9.109249
"8:9131715","8",32.0439460302038,9.131715
"8:9792760","8",33.1949040643917,9.79276
"8:10473555","8",33.1949041643917,10.473555
"8:10487775","8",33.1949042643917,10.487775
"8:11421500","8",33.7667332399725,11.4215
"8:11421631","8",33.7667333399725,11.421631
"8:11637594","8",33.7667334399725,11.637594
"8:11847819","8",33.7667335399725,11.847819
"8:12345780","8",33.7667336399725,12.34578
"8:12830414","8",33.7667337399725,12.830414
"8:12830470","8",33.7667338399725,12.83047
"8:13250978","8",33.7667339399725,13.250978
"8:13265049","8",34.5019131124446,13.265049
"8:13265057","8",34.5019132124446,13.265057
"8:13633119","8",34.5019133124446,13.633119
"8:14166602","8",36.9859118919229,14.166602
"8:14166682","8",36.9859119919229,14.166682
"8:14199121","8",36.9859120919229,14.199121
"8:14199219","8",36.9859121919229,14.199219
"8:14894739","8",36.9859122919229,14.894739
"8:15247448","8",36.9859123919229,15.247448
"8:16444317","8",36.9859124919229,16.444317
"8:16768182","8",38.7207649390692,16.768182
"8:16768296","8",38.7207650390692,16.768296
"8:18363431","8",43.3129913522304,18.363431
"8:18363475","8",43.3129914522304,18.363475
"8:18460349","8",44.5916878752152,18.460349
"8:18918294","8",44.5916879752152,18.918294
"8:19667750","8",46.9197574959005,19.66775
"8:19693053","8",46.9197575959005,19.693053
"8:19715983","8",46.9197576959005,19.715983
"8:19792935","8",46.9197586229828,19.792935
"8:19856436","8",46.9197587229828,19.856436
"8:19873404","8",47.4962126763204,19.873404
"8:19952841","8",47.4962127763204,19.952841
"8:20073806","8",47.4962128763204,20.073806
"8:21082925","8",47.4962129763204,21.082925
"8:21132501","8",47.4962130763204,21.132501
"8:21935517","8",48.9469705426893,21.935517
"8:22238147","8",50.398126151659,22.238147
"8:22238251","8",50.398126251659,22.238251
"8:22238253","8",50.398126351659,22.238253
"8:22309464","8",50.398126451659,22.309464
"8:22475862","8",51.2659484373784,22.475862
"8:23246051","8",52.1339058205339,23.246051
"8:24510391","8",52.1339059205339,24.510391
"8:24587467","8",52.1339060205339,24.587467
"8:24587617","8",52.1339061205339,24.587617
"8:25093208","8",53.2912761720315,25.093208
"8:26633169","8",54.4486461505774,26.633169
"8:26752830","8",54.4486462505774,26.75283
"8:27361920","8",54.4486463505774,27.36192
"8:27722534","8",54.4486464505774,27.722534
"8:27722689","8",54.4486465505774,27.722689
"8:27866771","8",54.4486466505774,27.866771
"8:27879416","8",54.4486467505774,27.879416
"8:28129788","8",54.4486468505774,28.129788
"8:28468734","8",54.4486469505774,28.468734
"8:28558873","8",54.4486470505774,28.558873
"8:29086066","8",54.4486471505774,29.086066
"8:29321412","8",54.4486472505774,29.321412
"8:29326733","8",54.4486473505774,29.326733
"8:30504624","8",58.5760429216191,30.504624
"8:30648873","8",58.5760430216191,30.648873
"8:31068498","8",58.5760431216191,31.068498
"8:31324840","8",59.8356847915004,31.32484
"8:31536787","8",59.8356848915004,31.536787
"8:32837704","8",65.519453293342,32.837704
"8:33189793","8",65.519453393342,33.189793
"8:33444752","8",65.519453493342,33.444752
"8:34068321","8",68.0305636448403,34.068321
"8:34125746","8",68.0305637448403,34.125746
"8:34167529","8",68.0305638448403,34.167529
"8:34725465","8",68.0305639448403,34.725465
"8:35562598","8",70.3623674177586,35.562598
"8:35562746","8",70.3623675177586,35.562746
"8:35879354","8",70.3623676177586,35.879354
"8:36052113","8",70.9390397364975,36.052113
"8:36052186","8",70.9390398364975,36.052186
"8:37612313","8",70.9390399364975,37.612313
"8:38688020","8",70.9390400364975,38.68802
"8:38719060","8",70.9390401364975,38.71906
"8:39702217","8",86.5210881047058,39.702217
"8:40077531","8",86.5210882047058,40.077531
"8:40077630","8",86.5210883047058,40.07763
"8:40085726","8",86.5210884047058,40.085726
"8:40387483","8",86.5210885047058,40.387483
"8:40417794","8",87.0978117847305,40.417794
"8:40422629","8",87.0978118847305,40.422629
"8:40775711","8",87.6849486696383,40.775711
"8:40880275","8",102.645107433298,40.880275
