"chr","cm.pos","mb.pos"
"21:10220","21",0,0.01022
"21:770899","21",0.512618151564124,0.770899
"21:818399","21",0.512618251564124,0.818399
"21:1022749","21",0.512618351564124,1.022749
"21:1142373","21",0.512618451564124,1.142373
"21:1163253","21",0.512618551564124,1.163253
"21:1373552","21",0.512618651564124,1.373552
"21:1373566","21",0.512618751564124,1.373566
"21:1412956","21",0.512618851564124,1.412956
"21:1740020","21",0.512618951564124,1.74002
"21:1811166","21",0.512619051564124,1.811166
"21:2071011","21",1.11874648675478,2.071011
"21:2071191","21",1.11874658675478,2.071191
"21:3265036","21",11.1945720296902,3.265036
"21:3369752","21",12.0731293991326,3.369752
"21:3369768","21",12.0731294991326,3.369768
"21:4916868","21",21.7869914006577,4.916868
"21:5084452","21",21.7869915006577,5.084452
"21:6014242","21",23.5802107296947,6.014242
"21:6014389","21",23.5802108296947,6.014389
"21:6021332","21",23.5802109296947,6.021332
"21:8213772","21",32.5046286869847,8.213772
"21:8241751","21",32.5046287869847,8.241751
"21:9121857","21",35.1829534613522,9.121857
"21:9168780","21",35.1829535613522,9.16878
"21:9168922","21",35.1829536613522,9.168922
"21:9340995","21",35.1829537613522,9.340995
"21:9541221","21",35.1829538613522,9.541221
"21:10028779","21",35.1829539613522,10.028779
"21:10869319","21",35.1829540613522,10.869319
"21:11128760","21",35.1829541613522,11.12876
"21:11540023","21",35.7594310296373,11.540023
"21:12075806","21",35.7594311296373,12.075806
"21:12109067","21",35.7594312296373,12.109067
"21:12109237","21",35.7594313296373,12.109237
"21:12405438","21",35.7594314296373,12.405438
"21:12666622","21",36.915147006554,12.666622
"21:12666717","21",36.915147106554,12.666717
"21:12874759","21",40.5234842643358,12.874759
"21:13104020","21",40.5234843643358,13.10402
"21:13104143","21",40.5234844643358,13.104143
"21:13291947","21",40.5234845643358,13.291947
"21:13929105","21",51.6352990471757,13.929105
"21:14062177","21",51.6352991471757,14.062177
"21:14074270","21",52.6923024001559,14.07427
"21:14074471","21",52.6923025001559,14.074471
"21:14085567","21",52.6923026001559,14.085567
"21:14404986","21",52.6923027001559,14.404986
"21:15378888","21",53.9760306659469,15.378888
"21:15378980","21",53.9760307659469,15.37898
"21:15404382","21",53.9760308659469,15.404382
"21:15726893","21",55.7174034118447,15.726893
"21:15727030","21",55.7174035118447,15.72703
"21:16115721","21",55.7174036118447,16.115721
"21:16150381","21",55.7174037118447,16.150381
"21:16463045","21",55.7174038118447,16.463045
"21:17211083","21",56.8717142534347,17.211083
"21:17803607","21",56.8717143534347,17.803607
"21:17976065","21",56.8717144534347,17.976065
"21:18459010","21",57.4480372596674,18.45901
"21:18572972","21",57.4480373596674,18.572972
"21:18892915","21",57.4480374596674,18.892915
"21:19329239","21",58.0779267404379,19.329239
"21:19330821","21",58.0779268404379,19.330821
"21:20586845","21",62.2846046359617,20.586845
"21:20586883","21",62.2846047359617,20.586883
"21:20772653","21",62.5428928576745,20.772653
"21:20922618","21",62.5428929576745,20.922618
"21:21845651","21",62.5428930576745,21.845651
"21:21904829","21",64.6573271804693,21.904829
"21:21904875","21",64.6573272804693,21.904875
"21:22846012","21",64.6573273804693,22.846012
"21:23118448","21",68.4666120095404,23.118448
"21:23118612","21",68.4666121095404,23.118612
"21:23461354","21",69.9405678807203,23.461354
"21:23461488","21",69.9405679807203,23.461488
"21:23461516","21",69.9405680807203,23.461516
"21:23837607","21",70.6608271678685,23.837607
"21:24920628","21",72.8454765079726,24.920628
"21:26081267","21",72.8454766079726,26.081267
"21:26792438","21",72.8454767079726,26.792438
"21:27168739","21",72.8454768079726,27.168739
"21:27613023","21",72.8454769079726,27.613023
"21:27613062","21",72.8454770079726,27.613062
"21:27613119","21",72.8454771079726,27.613119
"21:27657819","21",72.8454772079726,27.657819
"21:27657925","21",72.8454773079726,27.657925
"21:28468497","21",75.7605455429721,28.468497
"21:28622933","21",75.7605456429721,28.622933
"21:28687536","21",76.33737901939,28.687536
"21:28755908","21",76.33737911939,28.755908
"21:28755927","21",76.3373792193899,28.755927
"21:28755966","21",76.33737931939,28.755966
"21:28756094","21",76.3373794193899,28.756094
"21:29541744","21",78.6632011640238,29.541744
"21:29553498","21",78.6632012640238,29.553498
"21:29923919","21",78.6632013640238,29.923919
"21:30006742","21",80.2314507722007,30.006742
"21:30103137","21",80.2314508722007,30.103137
"21:30625959","21",80.2314509722007,30.625959
"21:31184565","21",80.2314510722007,31.184565
"21:31469200","21",80.2314511722007,31.4692
"21:31664297","21",81.2358862531558,31.664297
"21:32305896","21",81.4304455464268,32.305896
"21:32314127","21",82.0338144011561,32.314127
"21:32779778","21",82.6812669078678,32.779778
"21:33327099","21",84.4259782435021,33.327099
"21:33898013","21",85.0028441120965,33.898013
"21:34022772","21",85.0028442120965,34.022772
"21:34044209","21",85.0028443120965,34.044209
"21:34898724","21",85.0028444120965,34.898724
"21:35117759","21",86.1586813255055,35.117759
"21:35241047","21",86.1586814255055,35.241047
"21:35241133","21",86.1586815255055,35.241133
"21:35274739","21",86.1586816255055,35.274739
"21:36466865","21",88.0200654749489,36.466865
"21:36677410","21",88.0200655749488,36.67741
"21:36677520","21",88.0200656749489,36.67752
"21:36704305","21",88.7177308016905,36.704305
"21:36704495","21",88.7177309016905,36.704495
"21:37029388","21",88.7177310016905,37.029388
"21:37029507","21",88.7177311016905,37.029507
"21:37187938","21",88.7177312016905,37.187938
"21:37252319","21",90.453758108604,37.252319
"21:37252325","21",90.453758208604,37.252325
"21:37407905","21",90.453758308604,37.407905
"21:38033091","21",91.8099231751591,38.033091
"21:38210133","21",91.8099232751591,38.210133
"21:38224304","21",91.8099233751591,38.224304
"21:38526029","21",93.7535019669965,38.526029
"21:38609143","21",93.7535020669965,38.609143
"21:39071870","21",93.7535021669965,39.07187
"21:39072020","21",93.7535022669965,39.07202
