"chr","cm.pos","mb.pos"
"23:140574","23",0,0.140574
"23:140649","23",1e-07,0.140649
"23:140752","23",0.78267998810188,0.140752
"23:140765","23",0.78268008810188,0.140765
"23:1768465","23",2.1215159205604,1.768465
"23:3413549","23",2.1215160205604,3.413549
"23:3913959","23",2.1215161205604,3.913959
"23:3914029","23",2.1215162205604,3.914029
"23:4459011","23",2.1215163205604,4.459011
"23:4459189","23",2.1215164205604,4.459189
"23:5487447","23",6.86628102254064,5.487447
"23:5568309","23",6.86628112254064,5.568309
"23:6446149","23",6.86628122254064,6.446149
"23:6446366","23",6.86628132254064,6.446366
"23:6517545","23",6.86628142254064,6.517545
"23:6517566","23",6.86628152254064,6.517566
"23:7628548","23",6.86628162254064,7.628548
"23:8459954","23",8.6153961849555,8.459954
"23:9016534","23",10.3616028555751,9.016534
"23:9022513","23",10.3616029555751,9.022513
"23:9177709","23",10.3616030555751,9.177709
"23:9762502","23",13.2833989714655,9.762502
"23:9768898","23",13.2833990714655,9.768898
"23:10608849","23",14.1463473790992,10.608849
"23:10677939","23",16.7876769626586,10.677939
"23:11262057","23",16.7876770626586,11.262057
"23:11267510","23",16.7876771626586,11.26751
"23:11351596","23",16.7876772626586,11.351596
"23:11775343","23",17.3638670007063,11.775343
"23:11796314","23",17.3638671007063,11.796314
"23:12377566","23",18.5225964160032,12.377566
"23:12473627","23",18.5225965160032,12.473627
"23:12634467","23",18.5225966160032,12.634467
"23:13300724","23",18.8106740378262,13.300724
"23:13722584","23",19.0987900133177,13.722584
"23:14088974","23",19.0987901133177,14.088974
"23:14089086","23",19.0987902133177,14.089086
"23:14288354","23",19.0987903133177,14.288354
"23:14522270","23",23.8929925108409,14.52227
"23:14751542","23",23.8929926108409,14.751542
"23:15433399","23",23.8929927108409,15.433399
"23:15444644","23",23.8929928108409,15.444644
"23:15734302","23",25.1106491257083,15.734302
"23:15874628","23",25.1106492257083,15.874628
"23:15918385","23",25.1106493257083,15.918385
"23:16385836","23",25.1106494257083,16.385836
"23:17169874","23",27.6017078968764,17.169874
"23:17169886","23",27.6017079968764,17.169886
"23:17169955","23",27.6017080968764,17.169955
"23:17169990","23",27.6017081968764,17.16999
"23:17170050","23",27.6017082968764,17.17005
"23:17182923","23",27.6017083968764,17.182923
"23:17451696","23",28.3391050043759,17.451696
"23:17940928","23",31.2645265525653,17.940928
"23:17940950","23",31.2645266525653,17.94095
"23:18388231","23",31.2645267525653,18.388231
"23:18388405","23",31.2645268525653,18.388405
"23:18893755","23",31.2645269525653,18.893755
"23:19038725","23",31.2645270525653,19.038725
"23:19593730","23",31.2645271525653,19.59373
"23:19821303","23",32.146970004652,19.821303
"23:21074156","23",39.8911584071067,21.074156
"23:21128352","23",39.8911585071067,21.128352
"23:22833702","23",44.4254621539644,22.833702
"23:22989480","23",44.4254622539644,22.98948
"23:23755991","23",48.1539820292631,23.755991
"23:24992902","23",52.021281294446,24.992902
"23:25008062","23",52.021281394446,25.008062
"23:25008154","23",52.021281494446,25.008154
"23:25016726","23",52.021281594446,25.016726
"23:25016854","23",52.021281694446,25.016854
"23:25750296","23",54.7813603685943,25.750296
"23:26525596","23",56.8496404337213,26.525596
"23:26588774","23",58.0631415587891,26.588774
"23:26712032","23",58.0631416587891,26.712032
"23:26836435","23",60.1938778347718,26.836435
"23:26878789","23",60.1938779347718,26.878789
"23:27314874","23",61.364384100793,27.314874
"23:27314893","23",61.364384200793,27.314893
"23:27315006","23",61.364384300793,27.315006
"23:27565716","23",61.364384400793,27.565716
"23:27978272","23",61.364384500793,27.978272
"23:28153658","23",61.364384600793,28.153658
"23:28272351","23",62.6056913175434,28.272351
"23:28348616","23",62.60569143049,28.348616
"23:28348724","23",63.2636492976329,28.348724
"23:28603194","23",63.2636493976329,28.603194
"23:28876703","23",63.8409340967464,28.876703
"23:28969553","23",63.8409341967464,28.969553
"23:28977031","23",63.8409342967464,28.977031
"23:29116999","23",63.8409343967464,29.116999
"23:29207395","23",63.8409344967464,29.207395
"23:29313383","23",63.8409345967464,29.313383
"23:29335124","23",63.8409346967464,29.335124
"23:29374404","23",63.8409347967464,29.374404
"23:29374567","23",63.8409348967464,29.374567
"23:29464043","23",63.8409349967464,29.464043
"23:29646275","23",64.128911845076,29.646275
"23:30297020","23",64.41687419347,30.29702
"23:30297137","23",64.41687429347,30.297137
"23:30431143","23",64.41687439347,30.431143
"23:30488288","23",65.0070373469439,30.488288
"23:30535723","23",65.0070374469439,30.535723
"23:30549486","23",65.0070375469439,30.549486
